ID,Type,Name,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wpm_gtin_code,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
,variable,Blind Bolt A4 Stainless Steel,Blind Bolt A4 Stainless Steel,1,0,visible,<p>Quantity: 1</p>,"<span>Blind Bolts are revolutionary fastening devices used in steel applications where there is no backside access.</span><br /><br /><span>The Blind Bolt provides an innovative solution without the need for welding, or expensive tools.</span><br /><br /><span>Components can be successfully attached by simply inserting the Blind Bolt, and tightening the nut.</span>",,,taxable,,1,,,0,0,0.0,,,,1,,,665.0000,Blind Bolts > Blind Bolt,,,,,,,,,,,0,,,Finish,"304 Stainless Steel,  316 Stainless Steel",1,0,Bolt Diameter & Length,"3/8"" x 2-3/8"",  M8 x 50 (Fits 11/32"" Hole),  M10 x 60 (Fits 7/17"" Hole),  M12 x 90 (Fits 1/2"" Hole),  M16 x 100 (Fits 11/16"" Hole)",1,0,,,,
,variation,"Blind Bolt A4 Stainless Steel - 3/8"" x 2-3/8"", 304 Stainless Steel",BB-12-BBSS3750-2.375,1,0,visible,<p>Manufacturer Part Number: BBSS-3750-2.375</p><p>Quantity: 1</p>,,,,taxable,,1,,,0,0,0.15,,,,1,,,15.4500,,,,,,,,,,,,0,BBSS-3750-2.375,Blind Bolt A4 Stainless Steel,Finish,304 Stainless Steel,1,0,Bolt Diameter & Length,"3/8"" x 2-3/8""",1,0,,,,
,variation,"Blind Bolt A4 Stainless Steel - M12 x 90 (Fits 1/2"" Hole), 316 Stainless Steel",BB-13-M12090SS,1,0,visible,<p>Manufacturer Part Number: BB1290A4ASM</p><p>Quantity: 1</p>,,,,taxable,,1,,,0,0,0.25,,,,1,,,20.7300,,,,,,,,,,,,0,BB1290A4ASM,Blind Bolt A4 Stainless Steel,Finish,316 Stainless Steel,1,0,Bolt Diameter & Length,"M12 x 90 (Fits 1/2"" Hole)",1,0,,,,
,variation,"Blind Bolt A4 Stainless Steel - M8 x 50 (Fits 11/32"" Hole), 316 Stainless Steel",BB-11-M0850SS,1,0,visible,<p>Manufacturer Part Number: BB0850A4ASM</p><p>Quantity: 1</p>,,,,taxable,,1,,,0,0,0.15625,,,,1,,,11.2800,,,,,,,,,,,,0,BB0850A4ASM,Blind Bolt A4 Stainless Steel,Finish,316 Stainless Steel,1,0,Bolt Diameter & Length,"M8 x 50 (Fits 11/32"" Hole)",1,0,,,,
,variation,"Blind Bolt A4 Stainless Steel - M10 x 60 (Fits 7/17"" Hole), 316 Stainless Steel",BB-12-M1060SS,1,0,visible,<p>Manufacturer Part Number: BB1060A4ASM</p><p>Quantity: 1</p>,,,,taxable,,1,,,0,0,0.1875,,,,1,,,15.4500,,,,,,,,,,,,0,BB1060A4ASM,Blind Bolt A4 Stainless Steel,Finish,316 Stainless Steel,1,0,Bolt Diameter & Length,"M10 x 60 (Fits 7/17"" Hole)",1,0,,,,
,variation,"Blind Bolt A4 Stainless Steel - M16 x 100 (Fits 11/16"" Hole), 316 Stainless Steel",BB-16-M16100SS,1,0,visible,<p>Manufacturer Part Number: GBB16100A4ASM</p><p>Quantity: 1</p>,,,,taxable,,1,,,0,0,0.234375,,,,1,,,33.4000,,,,,,,,,,,,0,GBB16100A4ASM,Blind Bolt A4 Stainless Steel,Finish,316 Stainless Steel,1,0,Bolt Diameter & Length,"M16 x 100 (Fits 11/16"" Hole)",1,0,,,,
